,index,Job title,Company name,Company rating,Company location,is_remote,Salary range,Job summary,url,City,State,Job Category,Job Description
0,0,Junior Data Scientist,Leidos,3.7,"Pittsburgh, PA 15236",Remote,,"Work individually and on local and geographically dispersed teams with other engineers, scientists, technicians, subject matter experts, faculty members, post…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRnyhDD9XgeBp6fX700neD-NP6IWQyuUC-izvsz7qpEI5BgwcNYv-H8ZnvadbJsllirRWSJ5U4pzUOlfwwGdQLn646QATf-WgD3t1FEzVvoKhECmkePolm8MtWrjOPUh2aWs2dlLIlT7AiibFC4_8D6oCl41OQCZVRgPJMW3DY5QKFL1uV6t81f4AJnAKcbx4TdNuJamINdffJfylwV09J-4_TMD2Etmoq-Wvg5_eE5mwKX3b7uimOyD54PTZpnSh_X26VS_JPp2gicbIqSClbPvn6eTy6W43CQCYqox6zgig3nhiaicGF4gjx3uPbc9i5obwYh1lfo4Bkk_VgHQGWeAqKT0XYQBkkbXsPQBrO0lgGrfUTD-gyanDMM89LMSh6XXePGvEG7Mkgn0NCBmtIsqvSNiP3VAFH-QpOKn1yaNm2hLl6_kcaJ2o6SH8CM_gWEBSaGW3PpFSS7ir1G-0qEQ=&p=0&fvj=0&vjs=3,Pittsburgh,PA,Entry level,"Description
Job Description:
Leidos is a Fortune 500™ company aimed at embracing and solving some of the world’s most pressing challenges. Through science and technology, Leidos makes the world safer, healthier and more efficient.
Our Civil Group offers an array of exciting career opportunities for the best IT, energy, logistics and engineering professionals.
The Leidos Civil Group is seeking a Junior Data Scientist for its role on the Mission Execution and Strategic Analysis (MESA) contract in support of the U.S. Department of Energy’s (DOE) National Energy Technology Laboratory (NETL) at its site in Pittsburgh, PA or Morgantown, WV. NETL conducts a broad range of research activities that support DOE’s mission to advance the national, economic, and energy security of the United States while providing clean, reliable, and affordable energy to the Nation. https://www.netl.doe.gov/
The Junior Data Scientist will support NETL in the conduct of systems engineering and analysis studies focused on a variety of energy pathways including energy process analysis, energy markets analysis, life cycle analysis, and subsurface energy analysis. Some examples of these analyses include:
Conducting techno-economic analyses of the impacts of laboratory-scale research and new/proposed legislation on power generation modalities at large, and carbon (CO2) capture, utilization, and storage.
Cost modeling and infrastructure life assessment.
Predicting power usage demand, grid reliability, and oil and gas supply and demand.
Clustering analysis, classification.
Interaction with power generation and environmental technology developers, vendors, and stakeholders (e.g., utilities, institutions, research organizations and laboratories).
The successful candidate will be responsible for the following:
Learn and assess technologies, data, tools, operations, and regulations related to energy systems.
Attend meetings and contribute to the development of items that include, but are not limited to, graphs, tables, technical summary reports, journal articles, and presentations on findings and innovative solutions.
Work individually and on local and geographically dispersed teams with other engineers, scientists, technicians, subject matter experts, faculty members, post-doctoral students, and graduate and undergraduate students from various technical, socio-economic, cultural, and ethnic backgrounds to collaboratively generate solutions to energy challenges based on sound scientific and engineering principles.
There may be occasional travel to technical conferences and meetings within the continental United States.
Required Qualifications:
Bachelor’s Degree in chemical engineering, mechanical engineering, or other quantitative or analytical fields, such as computer science, mathematics, economics, statistics, data analytics, or computational social science, as well as 2+ years of experience.
Proven expertise in MS Office (Excel, PowerPoint, etc.).
Data analysis using one or more scripting languages such as R or Python; and Relational Database Services like PostgreSQL, MySQL, etc.
Familiarity with (1) core data analytical concepts like rigorous data collection, data cleaning operations, data wrangling; (2) data visualization (scatterplots, area graphs, boxplots, tornado plots, etc.), and; (3) geospatial visualization tools, such as ArcGIS, CARTO, Mapbox, etc., is a plus.
Familiarity with core statistical concepts including descriptive statistics; standard probability distributions; and regression analysis.
Knowledge of econometrics is a plus.
Familiarity with linear programming tools (Pyomo/GAMS, etc.) and version control (git).
Ability to achieve competency with new data tools quickly.
Successful candidates will be detail-oriented, able to take initiative, and work well both independently and as a member of a team to meet multiple deadlines. They will demonstrate competency in scientific and engineering modeling and analysis tools applicable to the specific tasks.
They will possess strong oral and written communications skills, particularly, the ability to:
Analyze and interpret data generated from research and clearly report results.
Author/co-author reports, manuscripts, and articles suitable for inclusion in refereed journals.
Present research results in work environments and at public settings at conferences or virtually.
Preferred Qualifications:
Master’s degree in chemical engineering, mechanical engineering, economics, or other interdisciplinary fields, such as data analytics, public policy, or environmental science.
Familiarity with various types of machine learning and related algorithms: (1) supervised algorithms – boosting and bagging, decision trees, SVMs, logistic regression; (2) unsupervised learning – K-means clustering, hierarchical, Gaussian Mixture Models; and (3) deep learning models – feedforward, CNN, LSTM networks (bonus).
Experience with visualization tools like Tableau and mapping tools like ArcGIS.
Experience with energy software like PROMOD, ABB Velocity Suite, Aspen, S&P Global Market Intelligence, and the Energy Information Administration’s National Energy Modeling System (NEMS).
Familiarity with government public datasets (EIA, EPA, NOAA, Census datasets, etc.).
Knowledge and understanding of energy technology and infrastructure such as pulverized coal power plants, natural gas combined cycle plants, oxy-combustion, carbon capture (pre- and post-combustion), energy storage concepts (thermal, electrical, mechanical), subsurface energy resources (onshore and offshore carbon storage, enhanced oil recovery), and large-scale project economics and financing.
Driven by our talented workforce, the Federal Energy, Environment and Commerce Operation builds trust through an array of energy-related IT, environmental science and engineering solutions to meet our customers’ needs.
Key Capabilities:
Large Infrastructure
Mission Support
Digital Modernization
Command & Control
Mission Applications
Environmental Science
Nuclear Security
Engineering Services
Leidos is growing! Connect with us on LinkedIn and Facebook.
We value and support the well-being and mobility of our employees with competitive benefit packages, complementary e-learning training, work-life flexibility, an exciting External Referral Program, and a diverse, inclusive and ethical work place. In fact, in 2020, Leidos was ranked as one of the “World's Most Ethical Companies” by the Ethisphere Institute for the third consecutive year.
External Referral Bonus:
Ineligible
Potential for Telework:
Yes, 100%
Clearance Level Required:
None
Travel:
Yes, 10% of the time
Scheduled Weekly Hours:
40
Shift:
Day
Requisition Category:
Professional
Job Family:
Data Scientist
Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.
Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.
Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.
All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws."
1,1,Data Scientist,Penfield Search Partners,,"Plainsboro, NJ",Not Remote,,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqQJ8fSTs6IWaHyuzb70w2-MvmXRF19zoGU3ZTTh-HddtiTTFEEm32m2_PmL7i16SEXZZSoQmE7UtWdrpMYVHqIcN3KW68A8n2hYqnHakihi6uECmO2w7rZ168fVPoIKK0IjJtbJ46dPg0ZvMFv3r6zd0ulECd3akerZxK8uc-_qxzpwQVF2QdFU-6XJHvYTBhxD18tlMPgwqgyre_8nmwerXHwAnIq3KDK18Cl5h61lOuebJPHEjHnTXMvG6goUeDQy_P3gmIfiJHn6X5pfksQL7L5PTTUs7OhrPVhZzU4HVr1KKt_EskncvbkgFxKiybt4M3t7pmmtwXSK-v5cuYUwjCkWz1aIf9-nV-AUzteknB6DndgWcHVUurG9ngYnTM_lXK4VzqytKbvsA-FOl14M2mgZrjQdR5Z5mZPRXjFmaUwKK1i1odYeXEsgSbAjMQH6nrlDrQpw==&p=1&fvj=0&vjs=3,Plainsboro,NJ,Other,"Salary: commensurate with experience
Reference: JOB-4369

Contact: Linda Aronova - 646.882.9021 - laronova@penfieldsearch.com

Summary: Data Scientists will work with senior DS leaders to extract insight from complex clinical, translational and real-world data. They will have the opportunity to work on complex data science problems including modeling techniques to interpret, infer and recommend based on insights from data.

Roles and Responsibilities:

Formulates, implements, tests, and validates predictive models and implements efficient automated processes for producing modeling results at scale.
Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.
Presents stories told by data in a visually appealing and easy to understand manner.
Responsible for collaborating with cross functional teams, including but not limited to, clinicians, data scientist, translational medicine scientist, statisticians, and IT professionals.
Proactively builds partnerships with specialist functions and global counterparts to maximize knowledge and available resources.

Requirements:

Ph.D. in quantitative sciences (computer science, math, statistics and engineering)
+2 years experience in healthcare or pharmaceutical is preferred but not required
Strong knowledge of programing languages, with a focus on machine learning (R, Python, Sagemaker, Tensorflow).
Ability to summarize technically/analytically complex information for a non-technical audience
Demonstrated ability to work in a team environment with good interpersonal, communication, writing and organizational skills.
Outstanding technical and analytic skills, proficient at understanding and conceptualizing business problems and implementing analytic or decision support solutions"
2,3,Data Scientist,Epace Technology,,United States,Not Remote,,"Understanding data, data problem statements, data processing.
Someone with a quantum background in physics/statistical backgrounds will be able to do this.",https://www.indeed.com/rc/clk?jk=897be629172f9721&fccid=28cf12cd52776c04&vjs=3,United States,United States,Other,"Only On W2 Accepted.

Job Description:
Looking for a candidate with Computer Science Degree, Statistics background or degree, Applied Physics, Mathematics realm
Need to know coding, programming, mathematics background
Must be able to Program in either R or Python (big plus if they can do both)
These Data Scientists will be coding heavily. Most be able to code and involve themselves with end to end products
Forecasting and statistical algorithms experience. Forecasting is an area they’re heavily investing in. Someone with a quantum background in physics/statistical backgrounds will be able to do this
Forecasting can be done with R and Python
Optimization experience
Someone who can translate business requirements & connect the dots on statistical concepts

Top Skills

Forecasting experience in R, Python, and SQL (they’ll be using new and existing algorithms to feed into a business case)
Optimization tools: example: Cplex, Matlab, Open Source, Biome
Causal (Causation experience): Experimentation, A/B testing/Multi-variant work
Understanding data, data problem statements, data processing. Work with SQL to process, manipulate, understand what the data is
Nice to have: Deep Learning"
3,4,Jr. Data Scientist,Dash Technologies Inc,,"Kansas City, KS",Not Remote,"$76,029 - $105,000 a year","Work with developers to design algorithms and flowcharts.
Produce clean, efficient code based on specifications.
Verify and deploy programs and systems.",https://www.indeed.com/company/Dash-Technologies-Inc/jobs/Junior-Data-Scientist-9926d4f7f46b8607?fccid=899d5c87949021be&vjs=3,Kansas City,KS,Other,"Dash Technologies is an industry-leading software solutions provider as well as an IT training provider for over a decade now.Position: Strictly W2 OnlyResponsibilities: Work with developers to design algorithms and flowchartsProduce clean, efficient code based on specificationsIntegrate software components and third-party programsVerify and deploy programs and systemsTroubleshoot, debug and upgrade existing softwareGather and evaluate user feedbackRecommend and execute improvementsCreate technical documentation for reference and reportingSkills: Sound knowledge of computer science fundamentals, object-oriented programming, excellent debugging, and in-depth analytical reasoning skillsThorough command over any of the third-generation programming language - Python.Solid understanding of Data structures and some of the most commonly used algorithmsHave a passion for best design and coding practices and a desire to develop new bold ideasAbility to work independently and multi-task effectivelyExcellent verbal and written communication skillsWillingness to relocateExcellent analytical skills and the ability to provide alternative solutions to technical problemsStrong written and verbal communication skillsShould be a self-starterJob Types: Full-time, ContractSalary: $76,029.00 - $105,000.00 per yearSchedule:Monday to FridayWork Remotely:No"
4,5,Data Scientist - Entry to Experienced Level,National Security Agency (NSA),4.2,"Fort Meade, MD",Not Remote,"$102,663 - $157,709 a year","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",https://www.indeed.com/rc/clk?jk=b3d58051359f695b&fccid=e8f18ca6180ec8da&vjs=3,Fort Meade,MD,Entry level,"NSA is in search of Computer Science professionals to solve complex problems, test innovative approaches and research new solutions to storing, manipulating, and presenting information. We are looking for you to apply your computer science expertise to projects that seek to create new standards for the transformation of information. If you want to develop technologies and tools and be a part of cutting edge innovations ' join our team of experts! Help protect national security interests as part of the world's most advanced team of computer science professionals!

Qualifications

Candidates for the NSA's Data Scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and computer science topics that pertain to data science work. Passing this examination is a requirement in order to be considered for selection into a data scientist position. Salary Range: $72,351 - $90,157 (Entry/Developmental) *The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree and no experience. An Associate's degree plus 2 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count. Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university. Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, and/or software engineering. Experience in more than one area is strongly preferred. Salary Range: $83,692 - $112,240 (Full Performance) *The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count. Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university. Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering. Salary Range: $102,663 - $157,709 (Senior) *The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree plus 6 years of relevant experience or a Master's degree plus 4 years of relevant experience or a Doctoral degree plus 2 years of relevant experience. An Associate's degree plus 8 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g., physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count. Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university. Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering. Salary Range: $142,701 - $170,800 (Expert) *The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree plus 9 years of relevant experience or a Master's degree plus 7 years of relevant experience or a Doctoral degree plus 5 years of relevant experience. An Associate's degree plus 11 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g., physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count. Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university. Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering.

Competencies

The ideal candidate is someone with a desire for continual learning and strong problem-solving, analytic and interpersonal skills. You might be a great fit for our team if any of the following describe you: - Completed a degree program in the fields of mathematics, statistics, computer science, computational sciences, or a passion for rigorous analysis of data - Tenacity, integrity, persistence, and willingness to learn - Ability to solve complex problems - Use critical thinking and reasoning to make analytic determinations - Works effectively in a collaborative environment - Strong communications skills to both technical and non-technical audiences - The desire to serve over 300 million fellow Americans and make a difference in world events"
5,6,Data Scientist,Experian,3.7,United States,Remote,,"Develop machine learning algorithms with huge data sets to solve challenging business questions.
The ideal candidate must have the ability to extract insights…",https://www.indeed.com/rc/clk?jk=c5dd5c63190cb116&fccid=75a3a5a15b202084&vjs=3,Remote,Remote,Other,"Experian Consumer Services is seeking a Data Scientist to help deliver personalized financial solutions to our customers. The ideal candidate must have the ability to extract insights from data and deliver a Machine Learning (ML) project from beginning to end, including understanding business needs, training/validating ML models, and deploying ML models to applications. In addition, the candidate must be able to thrive in a complex and fast-paced environment.

About us, but we’ll be brief

Experian is the world’s leading global information services company, unlocking the power of data to create more opportunities for consumers, businesses and society. We are thrilled to share that FORTUNE has named Experian one of the 100 Best Companies to work for. In addition, for the last five years we’ve been named in the 100 “World’s Most Innovative Companies” by Forbes Magazine. As the global leader in consumer and business credit data, we’re transforming data into information, and information into solutions that advance industries, move companies forward and improve the lives of millions of consumers around the world.

What you’ll be doing

Develop machine learning algorithms with huge data sets to solve challenging business questions.
Improve performances of existing algorithms.
Discover new data sources and create new input features for ML models.
Build end to end data pipeline for ML models
Communicate key analytical results to stakeholders.

What your background looks like

Advanced degree in a quantitative field (Machine Learning, Data science, Computer Science, etc.) or equivalent professional experience.
2+ years of work experience in a quantitative field such as data science or statistical modeling using cloud computing services such as AWS, Google Cloud Platform, Snowflake, Databricks, etc.
Experience with statistical modeling techniques such as regression, support vector machines, and neural nets.
Experience with cluster-computing framework, such as Hadoop or Spark.
Experience with analytical tools and programming languages such Python or R. Working knowledge of SQL.
Excellent oral and written communication skills
Experience with e-commerce and digital marketing is preferred.
Experience with natural language processing is a plus.
Experience with deep learning algorithms such as convolutional neural networks and recurrent neural networks is a plus.


Perks

During this pandemic, all Experian employees are working remotely. Once it’s safe to do so, we’ll slowly return to our offices however we are in no rush to do this. The safety of our employees is of utmost importance.
Four weeks of vacation to start, five sick days and two volunteer days (plus eleven paid holidays)
Competitive pay and comprehensive benefits package, with a bonus target of 15%
Flexible work schedule and relaxed dress code
This position will start out remote and can be 100% remote long term.


EOE including Disability/Veteran"
6,7,Data Scientist,Caffeine,,"Redwood City, CA",Not Remote,,"Work closely with the Product team and Engineering team to build machine learning / deep learning / stats-driven models, interrate the algorithms via…",https://www.indeed.com/rc/clk?jk=964fe51d774602a8&fccid=d678df224d61dc8d&vjs=3,Redwood City,CA,Other,"At Caffeine, we want to change how people consume live television - making it more friendly, connected, and fun. To do this, we're building a new social broadcasting platform that features world-class content, easy-to-use broadcasting tools, a social and fun viewing experience, and an engaged broadcaster community.

This is an exciting and enormous challenge, and we will only be successful if we build a supportive and collaborative team. Our teams prioritize delighting our community of viewers and broadcasters, working with intention, taking ownership of our commitments, and acting with resilience and determination—all with the intention to ship greatness, always.
We are looking for a junior Data Scientist with strong analytical and modelling skills to join our growing Data Science Team. We are seeking someone with a great understanding of and experience using statistical & machine-learning principles to communicate results. The role will work closely and cross-functionally with Engineering, Product and Marketing teams.

What you'll do:

As a junior member of the team, you will receive guidance and support from our senior team members to work in the following areas:

Recommendations & Optimization. Work closely with the Product team and Engineering team to build machine learning / deep learning / stats-driven models, interrate the algorithms via experiments. These will be used for real-time content recommendations and exploration of the products to give our users the best social experiences, improve social stickiness.
Computer Vision & NLP. Build Computer Vision and NLP machine learning models into products to power the best user experience.
Derive quantitative research approaches using big data analytics tools for given business use cases and help to implement them in production. An example: build and maintain an efficient social graph for user look-alike targeting and marketing campaign optimizations for User Acquisition & Growth projects.
Participate in operational monitoring & on-call process for the production-related algorithms/models.
Who you are & What you've done:
B.S or M.S.in Computer Science or similar applied science fields, 1 or 2 years of experience in a tech / research professional setting is preferred.
Strong understanding of ML/Deep Learning fundamentals, Feature Engineering (feature selection, data modeling, exploration) skills.
Solid Statistics skills and familiar with Data Science tools & packages.
Experienced one or more ML/DL Platforms: Spark & SparkML & Spark deep-learning, TensorFlow, Keras for TensorFlow, Dist-Kera, PyTorch
Basic knowledge on Big Data Platforms such as Spark, Hadoop, BigQuery / Redshift / SnowFlakes / Vertica, Presto etc
Preferred Programming Languages are Python, Java / Scala, SQL
Understanding of RDBMS, SQL.

We are committed to an inclusive and diverse Caffeine. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer."
7,8,Associate Data Scientist,Darden,3.9,"Orlando, FL",Not Remote,,Performs data analysis through the use of various data-mining and statistical techniques in order to gain insights from data to support business priorities.,https://www.indeed.com/rc/clk?jk=3b232017dde4fb9d&fccid=49d1e66f8b715867&vjs=3,Orlando,FL,Other,"JOB OVERVIEW:
The Associate Data Scientist works with team to wrangle, model, interpret, and visualize large volumes of data. Serves as an internal consultant to business leaders by conducting regular and ad-hoc analyses to convert data into strategic assets. Performs data analysis through the use of various data-mining and statistical techniques in order to gain insights from data to support business priorities. Supports projects including customer segmentation, marketing and promotional campaigns, operations enablers, and various market-growth initiatives.

ROLES AND RESPONSIBILITIES:
Wrangles large amounts of data from multiple sourcesCleanses and prepares data for modeling and analysisUses the correct data mining approach to solve business problems including customer segmentation, marketing and promotional campaigns, operations enablers, and various market-growth initiativesAppropriately evaluates model results and iterates as necessaryConsults on internal database(s) in collaboration with business partners (e.g., IT, Marketing) to ensure data qualityEfficiently and accurately produces data reports, visualizations, and insights to meet the needs of business partners
REQUIRED TECHNICAL SKILLS:
Minimum of 2+ years' experience using data mining tools and advanced analytical methods in a business environment or advanced technical degreeProficiency with relational database systemsProficiency and proven experience with techniques in accurately joining large data sets from multiple sources and manipulating data to desired formatExperience with data visualizationStrong analytical and problem solving skills with a solid understanding of businessExperience in one or more statistical programming languages (R, Python, SAS, SPSS)
REQUIRED EDUCATION:
Bachelor's degree in Economics, Statistics, Applied Mathematics, Computer Science, Management Information Systems or a related field
OTHER KEY QUALIFICATIONS:
Demonstrated ability and proven results exemplifying initiative, project management skills, and accuracy/detail-orientationAbility to work independently and with teamExtremely curious about dataStrong organizational and prioritization skillsStrong written and verbal communication skillsStrong desire to learn new data mining languages and techniques
PREFERRED SKILLS AND EXPERIENCE:
Knowledge and proficiency in RMaster's degreeBrings unique knowledge or expertise to team in some aspect of advanced analytics (e.g.; statistics, uplift modeling, marketing mix models, econometric modeling, predictive modeling, machine learning, etc.)Demonstrated ability to summarize and present complex analytics to senior leadership"
8,9,Entry Level Data Scientist,Spectra Infosystems,,"San Mateo, CA",Not Remote,,"Applicants will be expected to work with a diverse set of data sources, such as time series data, spatial, graph data, semi-structured and unstructured data,…",https://www.indeed.com/rc/clk?jk=23f087c8f24a97c0&fccid=8e44d5d5e9a1ffae&vjs=3,San Mateo,CA,Entry level,"Company Description

Our company is a leading IT services, consulting and outsourcing company delivering exceptional business solutions and customer value to its customers worldwide.
We offers end-to-end innovative and leading edge solutions to help corporations leverage technologies, outperform their competition and acquire sustainable growth. We have proven capabilities in new and emerging technologies and extensive experience across a broad range of industries and domains which enable us to deliver world-class, secure, scalable and reliable business systems.
We have achieved many distinctions and milestones of outstanding success during the course of its evolutionary journey.

Job Description

Providing a full range of Data and Analytic services(ML, Data Mining, EDA, Feature Engineering, Statistical modeling for Predictive and Prescriptive enterprise analytics) to clients across multiple sectors.
Applicants will be expected to work with a diverse set of data sources, such as time series data, spatial, graph data, semi-structured and unstructured data, and build statistical/machine-learning models in support of on-demand, real-time analytic services.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation and many other business outcomes.Develop company A / B testing framework and test model quality.Develop processes and tools to monitor and analyze model performance and data accuracy.Work with partners in Data Engineering, Product, Programmatic and business teams, to operationalize integration of analytic models into the production environment(s).Stay current on relevant academic and industry developments to identify best-in-class algorithms, techniques, libraries, etc.

Qualifications

null

Additional Information

All your information will be kept confidential according to EEO guidelines."
9,10,Statistician/Data Scientist,CSG,,"Irving, TX",Not Remote,$75 - $85 an hour,"Demonstrated experience in machine learning, in models such as neural nets.
Machine learning, in models such as neural nets: 5 years (Required).",https://www.indeed.com/company/CSG/jobs/Statistician-Data-Scientist-3575e854cc36a793?fccid=b5e99b10cbd50664&vjs=3,Irving,TX,Statistician,"6 month contract to hire roleStatistician/Data Scientist will work with multiple global and regional S&OP professionals, including demand and supply planners, schedulers, and inventory specialists, supporting all product lines. This person will conduct in-depth mathematical analysis, look for actionable insights, and use this information to develop data-driven solutions in support of global S&OP processes.Responsibilties· Build and maintain monthly time series sales forecasts, coordinate with S&OP team members to implement into demand planning process.· Create and manage process to continually monitor the performance and accuracy of forecast models.· Conduct various data science experiments to support and help automate certain processes within the global S&OP organization.· Effectively communicate results of complex mathematical models to a variety of stakeholders, using data to help persuade business outcomes.· Identify opportunities for cost savings and process improvement across the supply chain· Work in an underground laboratory concocting potions of mass destruction in hopes of global dominationRequired Knowledge/Skills/Abilities: · Highly proficient in R and/or Python languages (modeling tools), with functional knowledge of SAP IBP· Expert in time series statistical modeling, with strong experience in commonly used forecasting models such as ARIMA, Holt Winters, etc.· Demonstrated experience in machine learning, in models such as neural nets.· Ability to apply advanced mathematical models, (i.e. regression, clustering) to common business scenarios.· Self-starter who can work independently and manage time effectively.· Familiarity with S&OP processes and associated tools a plus.Job Type: ContractPay: $75.00 - $85.00 per hourSchedule:Monday to FridayAbility to Commute/Relocate:Irving, TX (Required)Education:Bachelor's (Preferred)Experience:Python or R: 5 years (Required)Statistical Modeling: ARIMA and Holt Winters: 5 years (Required)knowledge of SAP IBP: 2 years (Preferred)time series statistical modeling: 5 years (Required)machine learning, in models such as neural nets: 5 years (Required)apply advanced mathematical models: 5 years (Required)License/Certification:ability to work without 3rd party (Required)"
